Author,Title,Journal,Abstract,"Times Cited, WoS Core",Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,experimental?,Replication?,comments,Open Access (article),citation of initial study,author overlap,year of initial study,years between initial and replication study,experimental paradigm,sample,materials/set-up,measurement (dependent variable),manipulation (independent variable),control,type of replication,language under investigation,"if direct, check for success",citation count of replication,citation count of initial study,,
"Baus, Cristina; Costa, Albert; Carreiras, Manuel",Neighbourhood density and frequency effects in speech production: A case for interactivity,LANGUAGE AND COGNITIVE PROCESSES,"In three experiments, we explore the effects of phonological properties such as neighbourhood density and frequency on speech production in Spanish. Specifically, we assess the reliability of the recent observation made by Vitevitch and Stamer (2006), according to which the neighbourhood effect in Spanish has a reverse polarity to that observed in other languages. In Experiment 1, we replicate Vitevitch and Stamer's (2006) experiment, this time adding a control group. The same inhibitory neighbourhood effect found for both groups can not corroborate the hypothesis posited by Vitevitch and Stamer. In Experiment 2, our results show that native speakers of Spanish named pictures with words belonging to high density neighbourhoods faster than those belonging to low density neighbourhoods. In Experiment 3, we test for effects of neighbourhood frequency during lexical selection. Again, we find a facilitatory effect for words with a high-frequency neighbourhood. Together, the results of the present experiments suggest that lexical selection is facilitated by the number of neighbours and by neighbourhoods with higher frequency. These findings are consistent with the predictions of interactive models.",29,,2008,23,6,866,888,,10.1080/01690960801962372,1,1,one of several experiments is a replication,0,"Vitevitch, M. S., & Stamer, M. K. (2006). The curious case of competition in Spanish speech production. Language and Cognitive Processes, 21, 760 770.",0,2006,2,0,0,0,0,0,1,partial,Spanish (& German),NA,,,,
"BRADLEY, DC; SANCHEZCASAS, RM; GARCIAALBEA, JE",THE STATUS OF THE SYLLABLE IN THE PERCEPTION OF SPANISH AND ENGLISH,LANGUAGE AND COGNITIVE PROCESSES,"A series of monitoring studies is reported, in replication of the cross-language research of Cutler, Mehler, Norris and Segui (1983; 1986), which found evidence of language-specific perceptual routines. Monolingual speakers of Spanish and English detected CV and CVC target sequences in native and non-native materials. The replication succeeded only in the case of Spanish speakers and Spanish materials, where a cross-over interaction of target (CV vs CVC sequences) and carrier types (CV- vs CVC-syllabified words) gave evidence of a sensitivity to the input's syllabification; no such pattern emerged for Spanish speakers and English materials, nor for English speakers and materials in either language. For English speakers, the consistent finding was for faster performance with CVC targets, regardless of the structure of the carrier word. Whether or not this is to be interpreted as evidence of syllabified input representations is not clear. Analyses of English syllabification that are alternatives to that adopted by Cutler et al. exist, to weaken the original contrast drawn between syllable-favouring and syllable-disfavouring languages. A final experiment examines monitoring performance in Spanish speakers who have become bilingual as a consequence of emigration to an English-speaking country; these subjects showed no syllable sensitivity for Spanish language materials. We speculate that factors outside the perceptual system may determine the basis on which responses are made in the monitoring task, and therefore conclude that the case for language specificity in perceptual routines has yet to be made.",73,MAY,1993,8,2,197,233,,10.1080/01690969308406954,1,1,one of several experiments is a replication,0,"Cutler, A., Mehler, J., Norris, D. & Segui, J. (1983). A language-spodfic comprehension strategy. Nature, 304, 159-160.",0,1983,10,0,1,1,0,0,0,conceptual,Spanish (Castillian) & Australian English (initial: French & British English),NA,,,,
"Branigan, Holly P.; Catchpole, Ciara M.; Pickering, Martin J.",What makes dialogues easy to understand?,LANGUAGE AND COGNITIVE PROCESSES,"Two experiments investigate the question of why dialogues tend to be easier for anyone to understand than monologues. One possibility is that overhearers of dialogue have access to the different perspectives provided by the interlocutors, whereas overhearers of monologue have access to the speaker's perspective alone (Fox Tree, 1999). Directors first described a set of geometric shapes to matchers in monologue or dialogue eight times. Experiment 1 found that descriptions taken from dialogue were easier to understand than descriptions taken from monologue or descriptions taken from dialogue in which the matcher's contributions were excised. This advantage occurred on early trials (when the matcher made a considerable contribution) but also on late trials (when the matcher simply accepted a description). Experiment 2 replicated this finding and ruled out an explanation in which the advantage of dialogue is due to its use of discourse markers. We argue that the ease of dialogue occurs because interlocutors negotiate a perspective that they can agree on (Clark, 1996). This grounded perspective is likely to be objectively easier to understand than a perspective that has not been grounded.",15,,2011,26,10,1667,1686,,10.1080/01690965.2010.524765,1,1,inner-paper replication,0,same,1,2011,0,0,0,0,0,1,0,partial,English,NA,,,,
"Braun, Bettina; Tagliapietra, Lara",On-line interpretation of intonational meaning in L2,LANGUAGE AND COGNITIVE PROCESSES,"Despite their relatedness, Dutch and German differ in the interpretation of a particular intonation contour, the hat pattern. In the literature, this contour has been described as neutral for Dutch, and as contrastive for German. A recent study supports the idea that Dutch listeners interpret this contour neutrally, compared to the contrastive interpretation of a lexically identical utterance realised with a double peak pattern. In particular, this study showed shorter lexical decision latencies to visual targets (e.g., PELIKAAN, opelicano) following a contrastively related prime (e.g., flamingo, oflamingoo) only when the primes were embedded in sentences with a contrastive double peak contour, not in sentences with a neutral hat pattern. The present study replicates Experiment 1a of Braun and Tagliapietra (2009) with German learners of Dutch. Highly proficient learners of Dutch differed from Dutch natives in that they showed reliable priming effects for both intonation contours. Thus, the interpretation of intonational meaning in L2 appears to be fast, automatic, and driven by the associations learned in the native language.",7,,2011,26,2,224,235,PII 923379546,10.1080/01690965.2010.486209,1,1,replication of previous experiment by the same authors,0,"Braun, B., & Tagliapietra, L. (2009). The role of contrastive intonation contours in the retrieval of contextual alternatives. Language and Cognitive Processes. Advance online publication.
doi:10.1080/01690960903036836",1,2009,2,0,1,0,0,0,0,partial,Dutch,NA,,,,
"Brouwer, Susanne; Mitterer, Holger; Huettig, Falk",Speech reductions change the dynamics of competition during spoken word recognition,LANGUAGE AND COGNITIVE PROCESSES,"Three eye-tracking experiments investigated how phonological reductions (e. g., puter for computer) modulate phonological competition. Participants listened to sentences extracted from a spontaneous speech corpus and saw four printed words: a target (e. g., computer), a competitor similar to the canonical form (e. g., companion), one similar to the reduced form (e. g., pupil), and an unrelated distractor. In Experiment 1, we presented canonical and reduced forms in a syllabic and in a sentence context. Listeners directed their attention to a similar degree to both competitors independent of the target's spoken form. In Experiment 2, we excluded reduced forms and presented canonical forms only. In such a listening situation, participants showed a clear preference for the canonical form competitor. In Experiment 3, we presented canonical forms intermixed with reduced forms in a sentence context and replicated the competition pattern of Experiment 1. These data suggest that listeners penalize acoustic mismatches less strongly when listening to reduced speech than when listening to fully articulated speech. We conclude that flexibility to adjust to speech-intrinsic factors is a key feature of the spoken word recognition system.",37,,2012,27,4,539,571,,10.1080/01690965.2011.555268,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"CARREIRAS, M; GERNSBACHER, MA",COMPREHENDING CONCEPTUAL ANAPHORS IN SPANISH,LANGUAGE AND COGNITIVE PROCESSES,"This paper examines the mechanisms involved in the assignment of an antecedent to an anaphoric element. In general, pronouns must match their antecedents at least with respect to number and gender. Sensitivity to such constraints has been shown in several experiments. But Gernsbacher (1991) has also shown that people have no difficulty comprehending a plural pronoun with an antecedent that is grammatically singular but conceptually plural. In the first three experiments, we tested whether such a conceptual effect was preserved with zero anaphors in Spanish. (The typical omission of pronouns in subject position in Spanish.) Verbs in a second clause were marked with plural or singular endings. Plural verbs were rated more natural than singular verbs when they followed three types of singular but conceptually plural antecedents (Experiment 1). Clauses containing plural verbs were read faster when they followed one type of singular but conceptually plural antecedents, i.e. collective sets (Experiments 2 and 3). In fact, clauses containing plural verbs were read equally fast when they followed literally singular collective sets or explicitly group nouns. Using pronominal anaphors, these reading time effects were replicated and extended to sentences that contained generic types as antecedents (Experiment 4). The results are discussed in terms of the use of information during the comprehension of anaphors.",21,AUG-NOV,1992,7,3-4,281,299,,10.1080/01690969208409388,1,0,no clear communication of intent to replicate an original study,1,,,,NA,,,,,,,NA,,NA,,,,
"Conrad, M; Jacobs, A",Replicating syllable frequency effects in Spanish in German: One more challenge to computational models of visual word recognition,LANGUAGE AND COGNITIVE PROCESSES,"Two experiments tested the role of syllable frequency in word recognition, recently suggested in Spanish, in another shallow orthography, German. Like in Spanish, word recognition performance was inhibited in a lexical decision and a perceptual identification task when the first syllable of a word was of high frequency. Given this replication of the inhibitory effect of syllable frequency in a second language, we discuss the issue whether and how computational models of word recognition would have to represent a word's syllabic structure in order to accurately describe processing of polysyllabic words.",86,JUN,2004,19,3,369,390,,10.1080/01690960344000224,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Content, A; Meunier, C; Kearns, RK; Frauenfelder, UH",Sequence detection in pseudowords in French: Where is the syllable effect?,LANGUAGE AND COGNITIVE PROCESSES,"In two experiments, French speakers detected cv or cvc sequences at the beginning of disyllabic pseudowords varying in syllable structure and pivotal consonant. Overall, both studies failed to replicate the crossover interaction that has been previously observed in French by Mehler, Dommergues, Frauenfelder and Segui' (1981). In both experiments, latencies were shorter to cv than to cvc targets and this effect of target length was generally smaller for cvc. cv than for cv. cv carriers. However, a clear crossover interaction was observed for liquid pivotal consonants under target-blocking conditions, and especially for slow participants. A third experiment collected phonemegating data on the same pseudowords to obtain estimates of the duration of the initial phonemes. Regression analyses showed that phoneme duration accounted for a large proportion of the variance for cvc target detection, suggesting that participants were reacting rather directly to phonemic throughput. These findings argue against the hypothesis of an early syllabic classification mechanism in the perception of speech.",28,OCT,2001,16,5-6,609,636,,10.1080/01690960143000083,1,1,replication of findings of a previous experiment by slightly different manipulation,1,"Mehler, J., Dommergues, J.Y., Frauenfelder, U., & Seguõ´, J. (1981). The syllable",1,1981,20,0,0,1,0,1,0,conceptual,French,NA,,,,
"Costa, A; Sebastian-Galles, N; Miozzo, M; Caramazza, A",The gender congruity effect: Evidence from Spanish and Catalan,LANGUAGE AND COGNITIVE PROCESSES,"In five picture-word interference experiments we explore the gender congruity effect observed in Dutch in two languages, Spanish and Catalan. Participants' performance was not affected by the relationship between the gender of the picture and the gender of the word. The results show that the gender congruity effect is not a universal effect, but varies from language to language, depending on crucial characteristics of the gender/determiner selection system used to process a given language. Consistent with the crosslinguistic hypothesis presented by Miozzo and Caramazza we argue that the retrieval of the noun's gender is enough to specify the determiner's phonological form in Dutch, but not in Catalan or Spanish, and this is the cause of the failure to replicate the Dutch results in these two languages.",42,AUG,1999,14,4,381,391,,10.1080/016909699386275,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
"Dominguez, A; deVega, M; Cuetos, F",Lexical inhibition from syllabic units in Spanish visual word recognition,LANGUAGE AND COGNITIVE PROCESSES,"In Spanish, there is some empirical support for the notion that, in visual word recognition, the syllables initially activate competing lexical candidates (Carreiras, Alvarez, & De Vega, 1993). This lexical activation, however, requires an inhibitory mechanism to select the appropriate lexical entry. The experiments presented here aimed to explore these inhibitory processes. A priming paradigm was used in which the prime and the target shared the first syllable (norma-norte), the initial letters but not the first syllable (noria-norte) or were unrelated (mando-norte or savia-norte). Subjects performed a lexical decision task on the targets and the results showed, in general, interference on the related pairs. When the frequency of mention of the prime was less than that of the target, an inhibitory effect was obtained for the same syllabic pairs but not for the same letter pairs (Experiment 1). When the frequency of mention of the prime was increased to promote direct processing of the target, the inhibitory effect extended to both conditions of related pairs (Experiment 2). Finally, the use of pseudoword primes (Experiment 3) replicated the basic pattern of results in Experiment 1. The applicability of the data to a dual-route model and the time course of syllabic processing is discussed.",37,AUG,1997,12,4,401,422,,10.1080/016909697386790,1,0,no clear communication of intent to replicate an original study,0,,,,NA,,,,,,,NA,,NA,,,,
