Source Titles,TS=(experiment*) AND WC=(Linguistics),WC=(Linguistics),ratio
JOURNAL OF MEMORY AND LANGUAGE,1214,2012,0.603379722
MENTAL LEXICON,48,105,0.457142857
LANGUAGE ACQUISITION,82,207,0.396135266
LANGUAGE COGNITION AND NEUROSCIENCE,628,1373,0.457392571
LABORATORY PHONOLOGY,58,155,0.374193548
LANGUAGE LEARNING AND DEVELOPMENT,51,141,0.361702128
NATURAL LANGUAGE ENGINEERING,100,312,0.320512821
LECTURE NOTES IN COMPUTER SCIENCE,46,150,0.306666667
LANGUAGE AND COGNITION,42,144,0.291666667
INTERACTION STUDIES,87,312,0.278846154
SECOND LANGUAGE RESEARCH,93,338,0.275147929
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,454,1691,0.268480189
STUDIES IN SECOND LANGUAGE ACQUISITION,99,389,0.254498715
COMPUTATIONAL LINGUISTICS,130,521,0.249520154
JOURNAL OF COGNITIVE SCIENCE,28,114,0.245614035
METAPHOR AND SYMBOL,66,278,0.237410072
LECTURE NOTES IN ARTIFICIAL INTELLIGENCE,26,113,0.230088496
JOURNAL OF SEMANTICS,45,218,0.206422018
LINGUISTIC APPROACHES TO BILINGUALISM,41,204,0.200980392
BILINGUALISM LANGUAGE AND COGNITION,151,753,0.200531208
COMPUTER ASSISTED LANGUAGE LEARNING,101,531,0.190207156
LINGUISTIC RESEARCH,31,166,0.186746988
LANGUAGE AND SPEECH,282,1521,0.185404339
JOURNAL OF SPECIALISED TRANSLATION,26,141,0.184397163
GLOSSA A JOURNAL OF GENERAL LINGUISTICS,103,561,0.183600713
JOURNAL OF PHONETICS,252,1389,0.181425486
JOURNAL OF NEUROLINGUISTICS,138,806,0.171215881
APPLIED PSYCHOLINGUISTICS,202,1202,0.168053245
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,119,711,0.167369902
RECALL,35,214,0.163551402
PHONOLOGY,31,190,0.163157895
INTERPRETING,20,131,0.152671756
EURASIAN JOURNAL OF APPLIED LINGUISTICS,17,115,0.147826087
INTERNATIONAL JOURNAL OF SPEECH LANGUAGE AND THE LAW,25,171,0.14619883
JOURNAL OF LANGUAGE AND EDUCATION,21,145,0.144827586
LINGUISTICS VANGUARD,21,146,0.143835616
ARAB WORLD ENGLISH JOURNAL,132,952,0.138655462
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,463,3389,0.136618472
INTERNATIONAL JOURNAL OF BILINGUALISM,74,542,0.136531365
PHONETICA,116,862,0.134570766
JOURNAL OF CHILD LANGUAGE,224,1711,0.130917592
PROCESAMIENTO DEL LENGUAJE NATURAL,14,107,0.130841121
APPLIED LINGUISTICS RESEARCH JOURNAL,23,177,0.129943503
NATURAL LANGUAGE SEMANTICS,18,145,0.124137931
JOURNAL OF QUANTITATIVE LINGUISTICS,32,258,0.124031008
BRAIN AND LANGUAGE,449,3680,0.12201087
LANGUAGE AND LINGUISTICS COMPASS,21,178,0.117977528
LANGUAGE LEARNING,154,1314,0.117199391
CORPUS LINGUISTICS AND LINGUISTIC THEORY,18,156,0.115384615
REVIEW OF COGNITIVE LINGUISTICS,21,182,0.115384615
