journals,policy,webpage,binary_policy,jif,openaccess
HUMOR INTERNATIONAL JOURNAL OF HUMOR RESEARCH,3,http://www.humorstudies.org/JournalCenter.htm,0,0.711,partial
LANGUAGE LEARNING AND DEVELOPMENT,3,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hlld20,0,1.651,partial
MORPHOLOGY,3,https://www.springer.com/journal/11525,0,not retrievable,partial
TRANSLATION & INTERPRETING THE INTERNATIONAL JOURNAL OF TRANSLATION AND INTERPRETING,3,http://trans-int.org/index.php/transint/about/submissions#authorGuidelines,0,not retrievable,DOAJ gold
JOURNAL OF LOGIC LANGUAGE AND INFORMATION,2,https://www.springer.com/journal/10849/aims-and-scope,0,0.440,partial
JOURNAL OF MEMORY AND LANGUAGE,3,https://www.journals.elsevier.com/journal-of-memory-and-language/,0,3.893,partial
JOURNAL OF EAST ASIAN LINGUISTICS,2,https://www.springer.com/journal/10831,0,0.640,partial
LANGUAGE AND COGNITIVE PROCESSES,not retrievable,https://www.tandfonline.com/toc/plcp20/current,0,not retrievable,partial
COGNITIVE LINGUISTICS,2,https://www.degruyter.com/journal/key/COGL/html,0,1.442,partial
INTERNATIONAL JOURNAL OF SPEECH LANGUAGE AND THE LAW,2,https://journals.equinoxpub.com/IJSLL/index,0,0.333,partial
JOURNAL OF SPECIALISED TRANSLATION,2,https://jostrans.org/about.php,0,0.792,DOAJ gold
STUDIES IN SECOND LANGUAGE ACQUISITION,1,https://www.cambridge.org/core/journals/studies-in-second-language-acquisition,1,2.838,partial
LANGUAGE COGNITION AND NEUROSCIENCE,3,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=plcp21,0,1.925,partial
GLOSSA A JOURNAL OF GENERAL LINGUISTICS,2,https://www.glossa-journal.org/about/,0,not retrievable,DOAJ gold
LINGUISTIC RESEARCH,3,http://isli.khu.ac.kr/journal/submission/,0,not retrievable,partial
FIRST LANGUAGE,3,https://journals.sagepub.com/home/fla,0,0.887,partial
JOURNAL OF NEUROLINGUISTICS,3,https://www.journals.elsevier.com/journal-of-neurolinguistics/,0,1.853,partial
LANGUAGE LEARNING & TECHNOLOGY,2,https://www.lltjournal.org/about/,0,2.473,DOAJ gold
BILINGUALISM LANGUAGE AND COGNITION,2,https://www.cambridge.org/core/journals/bilingualism-language-and-cognition,0,2.210,partial
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,2,https://www.springer.com/journal/10936/aims-and-scope,0,0.677,partial
3L LANGUAGE LINGUISTICS LITERATURE THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,3,https://ejournal.ukm.my/3l/about/editorialPolicies#focusAndScope,0,not retrievable,DOAJ gold
LABORATORY PHONOLOGY,2,https://www.journal-labphon.org/about/,0,0.958,DOAJ gold
LANGUAGE TEACHING RESEARCH,2,https://journals.sagepub.com/aims-scope/LTR,0,2.647,partial
LANGUAGE AND COGNITION,3,https://www.cambridge.org/core/journals/language-and-cognition,0,1.102,partial
