journals,no_exp,no_ling,exp_ratio,no_replic,replic_rate
HUMOR INTERNATIONAL JOURNAL OF HUMOR RESEARCH,39,607,6.43,5,0.128205128205128
LANGUAGE LEARNING AND DEVELOPMENT,51,141,36.17,6,0.117647058823529
MORPHOLOGY,9,106,8.49,1,0.111111111111111
TRANSLATION & INTERPRETING THE INTERNATIONAL JOURNAL OF TRANSLATION AND INTERPRETING,10,114,8.77,1,0.1
JOURNAL OF LOGIC LANGUAGE AND INFORMATION,10,146,6.85,1,0.1
JOURNAL OF MEMORY AND LANGUAGE,1214,2012,60.34,114,0.0939044481054366
JOURNAL OF EAST ASIAN LINGUISTICS,22,338,6.51,2,0.0909090909090909
LANGUAGE AND COGNITIVE PROCESSES,399,783,50.96,34,0.0852130325814536
COGNITIVE LINGUISTICS,47,443,10.61,4,0.0851063829787234
INTERNATIONAL JOURNAL OF SPEECH LANGUAGE AND THE LAW,25,171,14.62,2,0.08
JOURNAL OF SPECIALISED TRANSLATION,26,141,18.44,2,0.0769230769230769
STUDIES IN SECOND LANGUAGE ACQUISITION,99,389,25.45,7,0.0707070707070707
LANGUAGE COGNITION AND NEUROSCIENCE,229,590,38.81,16,0.0698689956331878
GLOSSA A JOURNAL OF GENERAL LINGUISTICS,103,561,18.36,7,0.0679611650485437
LINGUISTIC RESEARCH,31,166,18.67,2,0.0645161290322581
FIRST LANGUAGE,34,312,10.90,2,0.0588235294117647
JOURNAL OF NEUROLINGUISTICS,138,806,17.12,8,0.0579710144927536
LANGUAGE LEARNING & TECHNOLOGY,37,352,10.51,2,0.0540540540540541
BILINGUALISM LANGUAGE AND COGNITION,151,753,20.05,8,0.0529801324503311
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,454,1691,26.85,24,0.052863436123348
3L LANGUAGE LINGUISTICS LITERATURE THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,19,293,6.48,1,0.0526315789473684
LABORATORY PHONOLOGY,58,155,37.42,3,0.0517241379310345
LANGUAGE TEACHING RESEARCH,60,524,11.45,3,0.05
LANGUAGE AND COGNITION,42,144,29.17,2,0.0476190476190476
LANGUAGE AND LINGUISTICS COMPASS,21,178,11.80,1,0.0476190476190476
METAPHOR AND SYMBOL,66,278,23.74,3,0.0454545454545455
LANGUAGE LEARNING,154,1314,11.72,7,0.0454545454545455
JOURNAL OF CHILD LANGUAGE,224,1711,13.09,10,0.0446428571428571
JOURNAL OF SEMANTICS,45,218,20.64,2,0.0444444444444444
APHASIOLOGY,209,1999,10.46,9,0.0430622009569378
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,119,711,16.74,5,0.0420168067226891
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,73,1080,6.76,3,0.0410958904109589
JOURNAL OF PHONETICS,252,1389,18.14,10,0.0396825396825397
APPLIED PSYCHOLINGUISTICS,202,1202,16.81,8,0.0396039603960396
LANGUAGE AND SPEECH,282,1521,18.54,11,0.0390070921985816
ACTA LINGUISTICA HUNGARICA,26,243,10.70,1,0.0384615384615385
JOURNAL OF COGNITIVE SCIENCE,28,114,24.56,1,0.0357142857142857
BRAIN AND LANGUAGE,449,3680,12.20,16,0.0356347438752784
LITERARY AND LINGUISTIC COMPUTING,32,247,12.96,1,0.03125
RECALL,35,214,16.36,1,0.0285714285714286
INTERNATIONAL JOURNAL OF BILINGUALISM,74,542,13.65,2,0.027027027027027
PHONETICA,116,862,13.46,3,0.0258620689655172
MIND LANGUAGE,80,728,10.99,2,0.025
LINGUISTIC APPROACHES TO BILINGUALISM,41,204,20.10,1,0.024390243902439
IRAL INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,42,671,6.26,1,0.0238095238095238
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,463,3389,13.66,11,0.0237580993520518
INTERACTION STUDIES,87,312,27.88,2,0.0229885057471264
ARAB WORLD ENGLISH JOURNAL,132,952,13.87,3,0.0227272727272727
